Date,Close
27 12 2016,592.5999756
28 12 2016,593.375
29 12 2016,602.5999756
30 12 2016,603.0999756
02 01 2017,598.5499878
03 01 2017,594.9500122
04 01 2017,592.75
05 01 2017,593.0999756
06 01 2017,596.8250122
09 01 2017,597.5999756
10 01 2017,607.1749878
11 01 2017,617
12 01 2017,617.5
13 01 2017,616.25
16 01 2017,623.8250122
17 01 2017,619.25
18 01 2017,621.2999878
19 01 2017,618.1500244
20 01 2017,618.1749878
23 01 2017,622.3250122
24 01 2017,633.7750244
25 01 2017,645.2999878
27 01 2017,645.9500122
30 01 2017,642.4749756
31 01 2017,643.3250122
01 02 2017,652.8499756
02 02 2017,649.3499756
03 02 2017,655.5250244
06 02 2017,657.0499878
07 02 2017,653.5750122
08 02 2017,652.8250122
09 02 2017,648.8250122
10 02 2017,651.7999878
13 02 2017,655.0999756
14 02 2017,655.5499878
15 02 2017,661.0999756
16 02 2017,663.9500122
17 02 2017,688.5250244
20 02 2017,704.5499878
21 02 2017,707.7750244
22 02 2017,699.5750122
23 02 2017,697.1500244
27 02 2017,696.7999878
28 02 2017,695.0499878
01 03 2017,695.8250122
02 03 2017,690.0499878
03 03 2017,688.5
06 03 2017,690.375
07 03 2017,693.0999756
08 03 2017,696.0999756
09 03 2017,697.0999756
10 03 2017,700.0499878
14 03 2017,705.3499756
15 03 2017,708.2999878
16 03 2017,708.6749878
17 03 2017,712.9249878
20 03 2017,718.0499878
21 03 2017,720.4749756
22 03 2017,715.4500122
23 03 2017,715.4500122
24 03 2017,712.1749878
27 03 2017,704.9249878
28 03 2017,710.0999756
29 03 2017,714.2999878
30 03 2017,733.0999756
31 03 2017,721.2750244
03 04 2017,716.5999756
05 04 2017,716.1749878
06 04 2017,719.25
07 04 2017,719.4249878
10 04 2017,717.0750122
11 04 2017,719.75
12 04 2017,721.8499756
13 04 2017,720.1500244
17 04 2017,718.4000244
18 04 2017,723.6500244
19 04 2017,724.5
20 04 2017,731.0750122
21 04 2017,748.2999878
24 04 2017,766.5250244
25 04 2017,768.5250244
26 04 2017,775.3250122
27 04 2017,784.2999878
28 04 2017,773.25
02 05 2017,770.2999878
03 05 2017,772.1500244
04 05 2017,767.4000244
05 05 2017,766.0999756
08 05 2017,767.4000244
09 05 2017,767.875
10 05 2017,775.9000244
11 05 2017,773.2000122
12 05 2017,775.8250122
15 05 2017,776.7000122
16 05 2017,779.8250122
17 05 2017,778.5750122
18 05 2017,778.5499878
19 05 2017,780.625
22 05 2017,788
23 05 2017,784.5499878
24 05 2017,783.375
25 05 2017,808.5750122
26 05 2017,813
29 05 2017,815.9500122
30 05 2017,814.5250244
31 05 2017,818.0999756
01 06 2017,814.2999878
02 06 2017,817.125
05 06 2017,817.7750244
06 06 2017,819.4749756
07 06 2017,820.4000244
08 06 2017,822.375
09 06 2017,833.4000244
12 06 2017,834.375
13 06 2017,838.3499756
14 06 2017,835.5999756
15 06 2017,832.1749878
16 06 2017,834.625
19 06 2017,846.4500122
20 06 2017,843.2750244
21 06 2017,849.3499756
22 06 2017,849
23 06 2017,839.3250122
27 06 2017,833.8250122
28 06 2017,833.2249756
29 06 2017,831.5250244
30 06 2017,826.0250244
03 07 2017,829.2999878
04 07 2017,826.6749878
05 07 2017,824.375
06 07 2017,829.0750122
07 07 2017,833.5999756
10 07 2017,838.1749878
11 07 2017,840.2000122
12 07 2017,840.625
13 07 2017,841.7750244
14 07 2017,839.9749756
17 07 2017,841.1749878
18 07 2017,841.7750244
19 07 2017,846.1500244
20 07 2017,855.4500122
21 07 2017,851.5250244
24 07 2017,867.5499878
25 07 2017,869.8250122
26 07 2017,873.7750244
27 07 2017,894.8250122
28 07 2017,889.25
31 07 2017,892.2000122
01 08 2017,898.5999756
02 08 2017,895.8250122
03 08 2017,889.9749756
04 08 2017,895.125
07 08 2017,894.2750244
08 08 2017,888.9500122
09 08 2017,882.2249756
10 08 2017,880.2249756
11 08 2017,874.5250244
14 08 2017,878.5999756
16 08 2017,890.625
17 08 2017,882.7000122
18 08 2017,876.0750122
21 08 2017,871.5999756
22 08 2017,873.5
23 08 2017,886.2249756
24 08 2017,881.25
28 08 2017,881.125
29 08 2017,873.0750122
30 08 2017,884.2750244
31 08 2017,888.2249756
01 09 2017,883.7999878
04 09 2017,875.4500122
05 09 2017,877.6749878
06 09 2017,879.9500122
07 09 2017,883.2750244
08 09 2017,893.8250122
11 09 2017,911.6749878
12 09 2017,917.5999756
13 09 2017,920.9249878
14 09 2017,919.7000122
15 09 2017,924.4749756
18 09 2017,930.2249756
19 09 2017,924.8499756
20 09 2017,924.4249878
21 09 2017,919.5499878
22 09 2017,912.0499878
25 09 2017,899.875
26 09 2017,896.1500244
27 09 2017,888.25
28 09 2017,897.6500244
29 09 2017,902.8499756
03 10 2017,904.4249878
04 10 2017,898.5
05 10 2017,899.2999878
06 10 2017,900.0499878
09 10 2017,897.75
10 10 2017,901.3499756
11 10 2017,895.0750122
12 10 2017,909.4000244
13 10 2017,925.4000244
16 10 2017,928.5750122
17 10 2017,925.625
18 10 2017,934.25
19 10 2017,924.2000122
23 10 2017,931.6500244
24 10 2017,933.5499878
25 10 2017,897.5499878
26 10 2017,897.6749878
27 10 2017,895.5250244
30 10 2017,907.5
31 10 2017,904.25
01 11 2017,910.5999756
02 11 2017,911.0499878
03 11 2017,915.3499756
06 11 2017,914.2999878
07 11 2017,911.8499756
08 11 2017,912.9749756
09 11 2017,913.9249878
10 11 2017,911
13 11 2017,906.7750244
14 11 2017,901.1749878
15 11 2017,900.125
16 11 2017,903.8499756
17 11 2017,912.7750244
20 11 2017,919.0750122
21 11 2017,923.125
22 11 2017,927.625
23 11 2017,921.4249878
24 11 2017,925.7000122
27 11 2017,928.7750244
28 11 2017,932.6749878
29 11 2017,936.6500244
30 11 2017,926.8499756
01 12 2017,924.0999756
04 12 2017,917.0499878
05 12 2017,910.2249756
06 12 2017,901.6500244
07 12 2017,904.8250122
08 12 2017,920.2000122
11 12 2017,923.2000122
12 12 2017,909.9500122
13 12 2017,910.6749878
14 12 2017,919.0250244
15 12 2017,936.7249756
18 12 2017,939.4749756
19 12 2017,942.25
20 12 2017,934.0750122
21 12 2017,934.1500244
22 12 2017,938.3250122
26 12 2017,934.1749878
27 12 2017,928.375
28 12 2017,939.0250244
29 12 2017,936.2000122
01 01 2018,927.25
02 01 2018,936.1749878
03 01 2018,926.3250122
04 01 2018,929.9500122
05 01 2018,931.7999878
08 01 2018,930.2999878
09 01 2018,931.8499756
10 01 2018,932.0999756
11 01 2018,936.2750244
12 01 2018,932.6500244
15 01 2018,948.875
16 01 2018,950.0750122
17 01 2018,945.25
18 01 2018,967.1500244
19 01 2018,976.0999756
22 01 2018,981.6749878
23 01 2018,975.6500244
24 01 2018,978.8250122
25 01 2018,987.4749756
29 01 2018,999.8250122
30 01 2018,997.75
31 01 2018,1002.849976
01 02 2018,995.5750122
02 02 2018,974
05 02 2018,956.9249878
